Fecha;Shopping;Cant. Público;dia_semana;nombre_dia;6c;7c;8c;9c;10c;11c;12c;13c;14c;15c;16c;17c;18c;19c;20c;21c;22c;23c
2021-07-01;Cordoba;5034.0;3;Jueves;0;0;0;0;245;326;388;418;428;439;469;530;602;622;561;0;0;0
2021-07-02;Cordoba;5649.0;4;Viernes;0;0;0;0;238;336;422;477;509;520;542;585;650;693;672;0;0;0
2021-07-03;Cordoba;7692.0;5;Sábado;0;0;0;0;254;376;487;576;642;698;775;886;997;1030;964;0;0;0
2021-07-04;Cordoba;6640.0;6;Domingo;0;0;0;0;160;254;367;462;547;622;707;820;924;943;830;0;0;0
2021-07-05;Cordoba;4680.0;0;Lunes;0;0;0;0;206;298;360;391;391;402;453;525;577;577;494;0;0;0
2021-07-06;Cordoba;5683.0;1;Martes;0;0;0;0;286;377;442;468;468;481;546;637;689;689;598;0;0;0
2021-07-07;Cordoba;5173.0;2;Miércoles;0;0;0;0;258;344;397;430;440;473;516;569;613;602;526;0;0;0
2021-07-08;Cordoba;5575.0;3;Jueves;0;0;0;0;271;361;429;463;474;486;520;588;667;689;621;0;0;0
2021-07-09;Cordoba;9705.0;4;Viernes;0;0;0;0;409;577;726;819;875;894;931;1005;1117;1192;1154;0;0;0
2021-07-10;Cordoba;8730.0;5;Sábado;0;0;0;0;289;427;553;654;729;792;880;1006;1132;1169;1094;0;0;0
2021-07-11;Cordoba;10639.0;6;Domingo;0;0;0;0;256;408;589;740;876;997;1133;1314;1480;1511;1329;0;0;0
2021-07-12;Cordoba;7971.0;0;Lunes;0;0;0;0;351;509;614;667;667;684;772;895;983;983;842;0;0;0
2021-07-13;Cordoba;7856.0;1;Martes;0;0;0;0;395;521;611;647;647;665;755;880;952;952;826;0;0;0
2021-07-14;Cordoba;9348.0;2;Miércoles;0;0;0;0;466;621;719;777;796;855;932;1030;1107;1088;952;0;0;0
2021-07-15;Cordoba;9644.0;3;Jueves;0;0;0;0;469;625;743;802;821;841;899;1017;1154;1193;1075;0;0;0
2021-07-16;Cordoba;10643.0;4;Viernes;0;0;0;0;449;633;796;898;960;980;1021;1103;1225;1307;1266;0;0;0
2021-07-17;Cordoba;12874.0;5;Sábado;0;0;0;0;426;630;816;964;1075;1168;1298;1484;1669;1725;1613;0;0;0
2021-07-18;Cordoba;13403.0;6;Domingo;0;0;0;0;323;514;742;932;1104;1256;1427;1656;1865;1903;1675;0;0;0
2021-07-19;Cordoba;9766.0;0;Lunes;0;0;0;0;430;623;752;817;817;838;946;1097;1204;1204;1032;0;0;0
2021-07-20;Cordoba;11236.0;1;Martes;0;0;0;0;565;745;874;925;925;951;1079;1259;1362;1362;1182;0;0;0
2021-07-21;Cordoba;9632.0;2;Miércoles;0;0;0;0;480;640;740;800;821;881;961;1061;1141;1121;981;0;0;0
2021-07-22;Cordoba;9285.0;3;Jueves;0;0;0;0;452;602;715;772;791;809;866;979;1111;1148;1035;0;0;0
2021-07-23;Cordoba;10625.0;4;Viernes;0;0;0;0;448;632;795;897;958;978;1019;1101;1223;1305;1264;0;0;0
2021-07-24;Cordoba;12022.0;5;Sábado;0;0;0;0;398;588;762;900;1004;1091;1212;1385;1559;1611;1507;0;0;0
2021-07-25;Cordoba;11279.0;6;Domingo;0;0;0;0;272;432;624;785;929;1057;1201;1393;1570;1602;1409;0;0;0
2021-07-26;Cordoba;6002.0;0;Lunes;0;0;0;0;264;383;462;502;502;515;581;674;740;740;634;0;0;0
2021-07-27;Cordoba;6040.0;1;Martes;0;0;0;0;304;400;469;497;497;511;580;677;732;732;635;0;0;0
2021-07-28;Cordoba;6092.0;2;Miércoles;0;0;0;0;303;405;468;506;519;557;607;671;721;709;620;0;0;0
2021-07-29;Cordoba;6807.0;3;Jueves;0;0;0;0;331;441;524;566;579;593;635;717;814;842;759;0;0;0
2021-07-30;Cordoba;8383.0;4;Viernes;0;0;0;0;353;498;627;707;756;772;804;868;965;1029;997;0;0;0
2021-07-31;Cordoba;11783.0;5;Sábado;0;0;0;0;390;577;747;882;984;1069;1188;1358;1528;1578;1477;0;0;0
2021-08-01;Cordoba;10812.0;6;Domingo;0;0;0;0;261;414;598;752;890;1013;1151;1336;1505;1535;1351;0;0;0
